sandwich_id,pair,block_number,timestamp,attacker,front_tx,front_sender,front_to,front_tx_index,front_direction,front_amount0_in,front_amount1_in,front_amount0_out,front_amount1_out,front_gas_price,back_tx,back_sender,back_to,back_tx_index,back_amount0_in,back_amount1_in,back_amount0_out,back_amount1_out,back_gas_price,num_victims,victim_txs,victim_total_amount0_in,victim_total_amount1_in,victim_total_amount0_out,victim_total_amount1_out,net_token0,net_token1,profit_usd,gas_cost_eth,gas_cost_usd,net_profit_usd
117,WETH_WBTC,18871621,1703614919,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xedd36ac51ef84d9a3c63e6ebc0f88842fa174e256568883f9248acc0bb324df5,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,3,0,93776898.0,0.0,0.0,1.7658527475163392e+19,26593267324.0,0xe41b004848e82a0af9b096c14aeef9a1282e2d9683ea1d2557ff09feef87910f,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,5,0.0,1.7599742257689264e+19,93779148.0,0.0,432122434810.0,1,0x448a288b347d3190d0738e92652f66fb4f54688e3384ff199885abc90a1e5958,50000000.0,0.0,0.0,9.289163680932266e+18,2.25e-05,0.05878521747412787,131.76240764021787,0.0688073553201,153.34584044279958,-21.58343280258171
118,WETH_WBTC,18910525,1704087047,0x2d2a7d56773ae7d5c7b9f1b57f7be05039447b4d,0x8adc25dcdbf9d340b31a17f51886fc5608a4e79695b44a0e4ace22eb18fc809b,0x2d2a7d56773ae7d5c7b9f1b57f7be05039447b4d,0x2d2a7d56773ae7d5c7b9f1b57f7be05039447b4d,0,1,0.0,2.0115092458738447e+18,10792578.0,0.0,9181196800.0,0xa283cc0b140f1003da686f9a47abecc9be32d9e5d77d9b4a34620e9d4a57ec2c,0x2d2a7d56773ae7d5c7b9f1b57f7be05039447b4d,0x2d2a7d56773ae7d5c7b9f1b57f7be05039447b4d,2,10792576.0,0.0,0.0,2.0743819096605924e+18,4021699448512.0,1,0xe61215d2107383128f156448dd424d34c400c589b820a998e5bbcb66101e4ddf,0.0,3.704181867551423e+19,194929502.0,0.0,2e-08,0.06287266378674765,148.40892692258075,0.6046320967968,1427.208059936836,-1278.7991330142552
119,WETH_WBTC,18918785,1704187403,0x2d2a7d56773ae7d5c7b9f1b57f7be05039447b4d,0xf928ee5916bb44210ac3721be3d24af677fa2062daf08cecbae0d2d43b163afb,0x2d2a7d56773ae7d5c7b9f1b57f7be05039447b4d,0x2d2a7d56773ae7d5c7b9f1b57f7be05039447b4d,0,0,377150460.0,0.0,0.0,6.8568676241004356e+19,16841612763.0,0xff50321474d9f46a4e1185542310f871bf2f4c198a50194ffce6ecc4d5c7d8b1,0x2d2a7d56773ae7d5c7b9f1b57f7be05039447b4d,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,2,0.0,7.971385103330592e+19,440949246.0,0.0,6532827498605.0,1,0x279af5e2d9702d65cfb6f62b4b4a43c59ba9c055857a324a5dcb97341100dd0c,96020757.0,0.0,0.0,1.671367822690547e+19,0.63798786,-11.145174792301567,-3718.5621899352373,0.9824503667052,2319.0318365132853,-6037.5940264485225
120,WETH_WBTC,18960979,1704700847,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x123d0307e1200570f4b3c0e6ae36e7880f28e637dfe7c8262fc4c303a3c0b700,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,89,0,12703703.0,0.0,0.0,2.5007487754300293e+18,41222753333.0,0xfd74bd62d21b70d98dc1d55ac6f078ba39748f90f11bc9d5f32206db211b65a9,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,94,0.0,2.4916632230869074e+18,12703777.0,0.0,150661907997.0,1,0x133bfcf3ac88689f360eaadf1d693c82344fb07124b17e9fcee8321e65a5272a,50000000.0,0.0,0.0,9.783244952216588e+18,7.4e-07,0.00908555234312192,21.65800387851472,0.0287826991995,68.52804607490962,-46.870042196394905
121,WETH_WBTC,18972069,1704835547,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6c88b7a1981300fd045e6f2222e54025eb2b8bd3b73281019ee1c74f1957277e,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,2,0,20511742.0,0.0,0.0,4.129873834088071e+18,65388898951.0,0xd3de2cd83322bf0bad62a91b925f75542a607b3796c2be3a89d71294ac6d8458,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,6,0.0,4.1192325071513846e+18,20511740.0,0.0,512066695589.0,1,0x7393fbe22fdff56ae493396c8519be179db2ad19e48428822c6a853f4ba5279c,43955989.0,0.0,0.0,8.794646255400969e+18,-2e-08,0.010641326936686592,25.334968730600522,0.086618339181,206.2275500009683,-180.89258127036777
122,WETH_WBTC,19116746,1706586623,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xae79df658171c94af3f0353a3a7a17181237754107a1c0aaaa45036f4cfa01c2,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0,0,27829132.0,0.0,0.0,5.183028891995865e+18,12535831370.0,0x979011bb16fc50dfa0ecf02605cecd2ffba4bb7087b10351db51453e93ead14b,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,3,0.0,5.022985671673905e+18,27836001.0,0.0,3155858272231.0,1,0x624939b462916cd77896823290841665f42c57cb98fad43609f1047f139a5668,200583506.0,0.0,0.0,3.6566780132603662e+19,6.869e-05,0.16004322032195994,376.25508029943524,0.47525911554015,1110.1675856763354,-733.9125053769002
123,WETH_WBTC,19238442,1708061951,0x429cf888dae41d589d57f6dc685707bec755fe63,0x3cd58a6a017196e076ff6534fa5923284fa43117287a370760ca3d9193c68d56,0x429cf888dae41d589d57f6dc685707bec755fe63,0x429cf888dae41d589d57f6dc685707bec755fe63,0,1,0.0,3.07216376364689e+19,164747334.0,0.0,18157188701.0,0x8e6069c3e64f6fc3719a94bcba3b2106980a32c263f38fb25a1d386a0460cb59,0x429cf888dae41d589d57f6dc685707bec755fe63,0x429cf888dae41d589d57f6dc685707bec755fe63,5,164747333.0,0.0,0.0,3.082551986872333e+19,723989394708.0,1,0xd2bdc408ac4eaa2da3815aa9241d2ba329569a7226d763862581869e330d22dc,0.0,9.309809637005e+18,48921063.0,0.0,1e-08,0.10388223225443123,283.6712385021409,0.11132198751135,303.98654116846154,-20.315302666320633
124,WETH_WBTC,19344718,1709349095,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x20aaf0abb421e9f5dbee850f9fc868ef5dec833e5100b64aaf0bc4989e2cda24,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0,0,26977152.0,0.0,0.0,4.855034906767524e+18,44981372615.0,0x8cf3673bc40008aeb06ae1030e4e182da27c3cc4482ed8c7aa4e8ac9526f9156,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,7,0.0,4.799355509087928e+18,26979261.0,0.0,372377835499.0,1,0x238b996cf397a4d2df6da72ca5b6af8f7f858c6b2f01542eaa4d0410aa8932d1,94552080.0,0.0,0.0,1.6824921470754943e+19,2.109e-05,0.05567939767959552,191.1806394227158,0.0626038812171,213.74212395399846,-22.561484531282645
125,WETH_WBTC,19366018,1709606159,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x1b20df44218d1db7e1764fdebbec3238ea01b463126b626da4fa99fa89e8c84d,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0,1,0.0,5.016866938427958e+19,260031206.0,0.0,83347835813.0,0x0d22dab188e35734563d77016af6ec6899463d97f07642c461d71d145e92c689,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,4,260031205.0,0.0,0.0,5.018363483704525e+19,528005641371.0,1,0x7041aea8d233d6d16b1fad6548be0db473089787fc4c1d02deccb3748b03e22d,0.0,6.297340066167723e+18,31727893.0,0.0,1e-08,0.014965452765667329,52.9387787756787,0.0917030215776,324.3869323790236,-271.4481536033449
126,WETH_WBTC,19381363,1709791223,0x429cf888dae41d589d57f6dc685707bec755fe63,0xb860527a6ff43558089c37fb58018e3b296b9dad0b45b642b2c951b9f1d0eb05,0x429cf888dae41d589d57f6dc685707bec755fe63,0x429cf888dae41d589d57f6dc685707bec755fe63,1,1,0.0,4.742879631651111e+18,27014524.0,0.0,54452265631.0,0xfebf84d2fdf5757f2b607b883a3ce711b21e7425e201ae8661844bcd9894f4bf,0x429cf888dae41d589d57f6dc685707bec755fe63,0x429cf888dae41d589d57f6dc685707bec755fe63,4,27014523.0,0.0,0.0,4.749408809108111e+18,77415304116.0,1,0xe883a691388589a6832a921c1d6dd8886538ef6c3a80bea4d595ca5a7fb4f55a,0.0,7.032667698242094e+18,39809783.0,0.0,1e-08,0.006529177457000448,25.63916080539273,0.01978013546205,77.6720232219648,-52.03286241657207
