sandwich_id,pair,block_number,timestamp,victim_tx,victim_sender,victim_to,victim_entity,tx_index,log_index,direction,amount0_in,amount1_in,amount0_out,amount1_out,gas_price
48,WETH_USDC,14873927,1653932774,0xc0229cbbf69e713b71ec7dab41f83b31354800e48ac278545409801c0cce4736,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x43e47344f0e328a8cde5f386514217242a92c5c4,0x43e47344f0e328a8cde5f386514217242a92c5c4,134,193,1,0.0,2.522111448826236e+18,4845909253.0,0.0,18725390752.0
49,WETH_USDC,14874020,1653933938,0x580413d8cd9ac6b674b31033cb31f510ea9bd63137629840255f8088aa9401a1,0x1111111254fb6c44bac0bed2854e76f90643097d,0x1111111254fb6c44bac0bed2854e76f90643097d,0x1111111254fb6c44bac0bed2854e76f90643097d,226,352,0,60645921.0,0.0,0.0,3.1385403157978264e+16,26990675894.0
50,WETH_USDC,14898696,1654281573,0xbb2850121ca79e65a92f0753dc98c71989bda79cdde9b93619efde3906f4d4a2,0x1111111254fb6c44bac0bed2854e76f90643097d,0x1111111254fb6c44bac0bed2854e76f90643097d,0x1111111254fb6c44bac0bed2854e76f90643097d,414,1042,0,1000000000.0,0.0,0.0,5.7098275436383046e+17,48183167826.0
51,WETH_USDC,14898770,1654282552,0x8fdc03810aa1558aa34d0f7fb1a6ec9dcde2bf3be7eedcda511709e29d004594,0x1111111254fb6c44bac0bed2854e76f90643097d,0x453a43e2bf3080f7a23c9bb034ccdd869e306102,0x1111111254fb6c44bac0bed2854e76f90643097d,193,375,0,49562500.0,0.0,0.0,2.829486217133525e+16,33153692918.0
52,WETH_USDC,14948312,1655009593,0xc31c0752d3f152097c88fa453a52f38dc439ecbd77a27c1a561b0a3a255c098a,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xd3d2e2692501a5c9ca623199d38826e513033a17,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,5,38,0,150000000.0,0.0,0.0,1.0256458395463011e+17,22206158687.0
53,WETH_USDC,14973395,1655383715,0xb8f7cafd42a6d1c80b03edf93496e3cbe853fffbceae2aded3762c0c10ab7dcb,0x220bda5c8994804ac96ebe4df184d25e5c2196d4,0x220bda5c8994804ac96ebe4df184d25e5c2196d4,0x220bda5c8994804ac96ebe4df184d25e5c2196d4,339,498,1,0.0,1.7585505464219548e+19,19651867434.0,0.0,33994513818.0
54,WETH_USDC,14973418,1655384081,0x5fed2cd888437913b3eabc7b9b339026680c76b25e68dc3b6cadaee9e522501f,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,146,193,0,264229676.0,0.0,0.0,2.350604274265312e+17,30071592533.0
55,WETH_USDC,14973425,1655384161,0xcbb567f4edbfe6dbb84729621b79c20bafc1da5e31f9114900350e2725c8481f,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0xdfee68a9adb981cd08699891a11cabe10f25ec44,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,115,145,0,7465397388.0,0.0,0.0,6.640872078808833e+18,35576497055.0
56,WETH_USDC,14973640,1655387470,0x0b6bd5b25f096154c0eb7fc7c39712cacfc26eedf2103c935e3126a40b0187d5,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0x9a0a50a369fe633003b3415c24fab35c05461bf3,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,148,239,1,0.0,4e+16,44164211.0,0.0,32500000015.0
57,WETH_USDC,15023444,1656156199,0x468214f3d666f9e45ca2b70c420201e666ea6b360654ab9d25057c22aca4aa45,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf248959d7aa50cd47b448f507063eaa6cc5404c4,0xf248959d7aa50cd47b448f507063eaa6cc5404c4,95,150,0,177500000.0,0.0,0.0,1.4446355835629517e+17,28965147803.0
58,WETH_USDC,15049078,1656571523,0x05713a98d62f9a6bf27f2740bd20471a5c9f771022ca12be5e3ca6ada12cb28b,0x1111111254fb6c44bac0bed2854e76f90643097d,0x1111111254fb6c44bac0bed2854e76f90643097d,0x1111111254fb6c44bac0bed2854e76f90643097d,65,104,0,30000000.0,0.0,0.0,2.8225636953074536e+16,52514679352.0
59,WETH_USDC,15073269,1656900593,0xdbb2a84ca898f232aec9d7dfe40cefcf8e74b8c77e0996824031e2a042f970df,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xfbb3bd744793dc946e7b553530dcd0c07dc548b4,0xdef1c0ded9bec7f1a1670819833240f027b25eff,77,202,1,0.0,1e+16,10708564.0,0.0,17076160776.0
60,WETH_USDC,15123349,1657569134,0x8075d3c3de687e92207ba1ea0271ffb5b0fd65fe9dd13e6ee5bb613e579f3a42,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,177,501,0,81647058.0,0.0,0.0,7.144816997407756e+16,20486701216.0
61,WETH_USDC,15123480,1657570918,0x9fdd63b0f4a482036b745b66ec655da78c3d58e6f8d2ece3b70f3df7ffb02c9e,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf340628bf09a7763f5ff14e35b1e8a1ebb070b10,0xf340628bf09a7763f5ff14e35b1e8a1ebb070b10,211,259,0,200000000.0,0.0,0.0,1.7487530994191805e+17,55953476754.0
62,WETH_USDC,15148369,1657902629,0xcf0e260d34a71de891c3421cf9a574cc155b8acbe6b073802860c966f66b54a2,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x0883012fd201384f03ca6f68d025e934328c3437,0x0883012fd201384f03ca6f68d025e934328c3437,332,456,0,132731236.0,0.0,0.0,1.0957742010920877e+17,44102129168.0
63,WETH_USDC,15149039,1657911105,0xd9c0dbdde16f4fe8d778ed12d1c5492d50caa46bb134b873e08171ce7dd607f3,0x0000000476fde29330084b2b0b08a9f7d2ac6f2b,0x00000000ae347930bd1e7b0f35588b92280f9e75,0x0000000476fde29330084b2b0b08a9f7d2ac6f2b,8,44,0,64065474545.0,0.0,0.0,5.125122855e+19,162802254247.0
63,WETH_USDC,15149039,1657911105,0x92711e5ec4bcefe59c6f04167634f272ee31894a6679e2f9d7645b578e374d5c,0x1111111254fb6c44bac0bed2854e76f90643097d,0x73bb0374ff7a5cce866c9d74e9b468b06953b39f,0x1111111254fb6c44bac0bed2854e76f90643097d,246,334,0,297375000.0,0.0,0.0,2.3761350854150336e+17,45107870702.0
64,WETH_USDC,15198259,1658570651,0xeb4fc7c02a4497254259f5dc1723716b06070669802c8b1f361f80e6963c6d65,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,29,94,0,82473516.0,0.0,0.0,5.26587640013931e+16,8487103996.0
64,WETH_USDC,15198259,1658570651,0x02c22d4c802bd6093690448ab2d03d051ed17fab190f2b590a312dd8e4d3b1a9,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,30,110,0,70657334.0,0.0,0.0,4.511409591302494e+16,8487103996.0
65,WETH_USDC,15198291,1658571113,0x525d0b55c890bcff9a99f2336d726db0e6fadd89675874ea27349ca97f4c365f,0x25553828f22bdd19a20e4f12f052903cb474a335,0x6e48dbea2d3b37e4d605fda71e85c52ebc40aa40,0x25553828f22bdd19a20e4f12f052903cb474a335,50,134,0,3200000000.0,0.0,0.0,2.0434723876225715e+18,10881700502.0
66,WETH_USDC,15198370,1658572093,0x60f43c52f875d8ebb778b8f89e9d30d438b88566095c0d25587c79bfe966f66c,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xef6aca7e2312eb16ae328f479454396880cd3205,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,1,11,1,0.0,8e+16,124616344.0,0.0,7977398769.0
67,WETH_USDC,15198414,1658572784,0x8be28d03ef2bdeab63b1cbb6db45a980b9a0003cf516008bf383d001a2a6b062,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x74de5d4fcbf63e00296fd95d33236b9794016631,0xdef1c0ded9bec7f1a1670819833240f027b25eff,184,188,1,0.0,9.9125e+16,152557857.0,0.0,9627351695.0
68,WETH_USDC,15198822,1658577941,0xa032b617eae856190612b37a92c281802d113af64a2df6124f70d53d29d5b9ba,0xf2f400c138f9fb900576263af0bc7fcde2b1b8a8,0xf2f400c138f9fb900576263af0bc7fcde2b1b8a8,0xf2f400c138f9fb900576263af0bc7fcde2b1b8a8,171,291,1,0.0,8.424e+18,12739120620.0,0.0,11233824127.0
69,WETH_USDC,15223846,1658915784,0x942671ea4352127271077041a9e473c8b17acfe1486353adf6c651304eb27860,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,294,422,0,340006548.0,0.0,0.0,2.3204494234587283e+17,5627397325.0
70,WETH_USDC,15248611,1659248872,0xe9c4419cfe17d0100aa89cb6c5ef48a17d4c7851b782981f90683c716613e8e9,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x3401bed84ec55cf247a0efc6e30260afd66f1b2e,0x3401bed84ec55cf247a0efc6e30260afd66f1b2e,64,147,1,0.0,819182209141505.0,1384369.0,0.0,5794777664.0
71,WETH_USDC,15273348,1659581751,0x059ad2163bacad90f17c52b7eb76ce88af6f3961b54a17efed2acd72c9c4e01d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf1f2e00a3420a4ae67fc20885767bbd9aded6380,0xf1f2e00a3420a4ae67fc20885767bbd9aded6380,44,68,1,0.0,2e+17,329676633.0,0.0,14952104622.0
72,WETH_USDC,15273437,1659582842,0xf9acf9fce234f132618af9fe461b1378b7f3ed4939221966e53586fcd884449f,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,283,531,0,115978739.0,0.0,0.0,6.994475533189919e+16,5663425850.0
