pair,block_number,timestamp,trigger_entity,trigger_tx,trigger_sender,trigger_to,trigger_tx_index,trigger_direction,trigger_amount0_in,trigger_amount1_in,trigger_amount0_out,trigger_amount1_out,trigger_gas_price,trigger_trade_size,backrunner_entity,backrunner_tx,backrunner_sender,backrunner_to,backrunner_tx_index,backrunner_amount0_in,backrunner_amount1_in,backrunner_amount0_out,backrunner_amount1_out,backrunner_gas_price,tx_index_gap,backrun_profit_usd,gas_cost_usd,net_profit_usd,trigger_value_usd
WETH_DAI,18778279,1702482995,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0x7d66b3b0b4a59e3a1ab3aa61b2a36573139ec6c014c876ad3094ca5ce53750a2,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,6,0,5.129424857907106e+22,0.0,0.0,2.2815483101014946e+19,86320491550.0,51294.24857907106,0x9f51040aec194a89cb6a7e852e79ea07cc0bf648,0x3ff7d1c6beee777521c354ad19e0175fcb7edc0c3e29b5ee9b49b2cbbc1a2af7,0x9f51040aec194a89cb6a7e852e79ea07cc0bf648,0x9f51040aec194a89cb6a7e852e79ea07cc0bf648,7,0.0,2.2014656208521363e+19,4.921374537192305e+22,0.0,64674468866.0,1,1463.9988030016248,21.04181960812815,1442.9569833934966,51294.24857907106
WETH_DAI,18838485,1703212967,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x0db2bab7523930bb25d583d0e89403cbbe10bc25e3aa598a13dbbdb1a3503c5c,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x4028daac072e492d34a3afdbef0ba7e35d8b55c4,0,0,3.6193866044343694e+22,0.0,0.0,1.5987914892593537e+19,26714487981.0,36193.8660443437,0x507888e987257a8dde6f8afa46375cefe2cbf504,0x11fc71a06078f2d038450f241795e6631dd1212697aa7ec714b442bb08ff1d83,0x507888e987257a8dde6f8afa46375cefe2cbf504,0x48da0965ab2d2cbf1c17c09cfb5cbe67ad5b1406,2,0.0,1.2024807287717382e+19,2.7098315055608386e+22,0.0,277828253138.0,2,578.6910796512457,91.90875945233645,486.78232019890925,36193.8660443437
WETH_DAI,18926520,1704281123,0x09d1d767edf8fa23a64c51fa559e0688e526812f,0x667198628ccf06f95fec762a00fe0239568444f249e5b02a77825b4f42887d68,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x09d1d767edf8fa23a64c51fa559e0688e526812f,2,0,6.201293948703445e+21,0.0,0.0,2.630463761109663e+18,30738647063.0,6201.2939487034455,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x80c5ebcec59301c2d9bc9a5fc72972ad63d31be16122a5f4faff7d01d0ea14ec,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,3,0.0,3.7693581275525284e+18,8.829360268230456e+21,0.0,27759542584.0,1,-108.25930784593038,9.873202127232481,-118.13250997316285,6237.158585066182
WETH_DAI,18935054,1704384527,0x09d1d767edf8fa23a64c51fa559e0688e526812f,0x6d578ec42245e9bd0e2a0f4ceda263679fe522719d54d187013fded4a50be5a1,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x09d1d767edf8fa23a64c51fa559e0688e526812f,3,0,5.861540375542159e+21,0.0,0.0,2.5606161958169733e+18,39983266425.0,5861.5403755421585,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0x83766a1e805de586111e8e24bc19156975905893cd60c6f49704323c4da6b6be,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,4,0.0,3.657825189143624e+18,8.319767539370937e+21,0.0,36863502332.0,1,-353.39348966152465,13.111196214426139,-366.50468587595077,6071.541271514031
WETH_DAI,18952176,1704593423,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x43fe909b48b7548d2fc460c6dc25b0a6bbc8feab45c455aa881a53508dca0136,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xeedff72a683058f8ff531e8c98575f920430fdc5,4,0,1e+22,0.0,0.0,4.422121896788819e+18,14481643706.0,10000.0,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x8f5a0cfa3469e95f254336519aa3d09b54f0103c4186e34301b06cb34a962487,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f,5,0.0,2.7135079166668283e+18,6.103212521260653e+21,0.0,29399881699.0,1,2.433505002380116,9.914961750142412,-7.481456747762296,10000.0
WETH_DAI,18958915,1704675611,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x965089df8f026aa028cbdef245d3b544b879b25f99694e8f7185d514912bd07a,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0,0,1.2305144660239321e+22,0.0,0.0,5.557719728554149e+18,32962874560.0,12305.14466023932,0x01bd2da640345f1c29831b7cef9a434298408172,0xd7045703a3f6f2b188d90a90bb1c20d3e19b4b41f58dfd8463b05e87ef49f71b,0x01bd2da640345f1c29831b7cef9a434298408172,0x3bb1be14b122edec3f10356298e9b3276d93caf6,1,0.0,2.842470914353414e+18,6.261821360790782e+21,0.0,288692722912.0,1,-128.9051235871093,97.36016404835745,-226.26528763546673,12495.419560027362
WETH_DAI,18981403,1704948407,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0x605e99256af035a52a9ed34f306dea24e048ee5b020b1bdb870c9ed5c915d92d,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,1,0,2.8281743730027006e+22,0.0,0.0,1.0774035002474076e+19,25629611842.0,28281.743730027007,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0xbc21298fb82e7b6ecc30b303b5ffd14aa3fbbc06081c6c989d39013bb0f0897d,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f,4,0.0,4.125966017842852e+18,1.0793673948976554e+22,0.0,74697965879.0,3,1012.1255970764632,26.56329797219324,985.56229910427,28281.743730027007
WETH_DAI,18982596,1704962915,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xc15a3c918c48bb4ac7b426a1d747849214c2c426eb848f243fbdf3e62c4c1ff0,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0,0,6.58204733121876e+21,0.0,0.0,2.5219366155689073e+18,29625684846.0,6582.04733121876,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xeb8ddcfe4afee01fb30ca13c9a73cca45921239e68c29312526e511142e0fda7,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,1,0.0,9.233824664403313e+17,2.397006665074881e+21,0.0,106646219719.0,1,207.91683648122353,37.92439698549006,169.99243949573346,6582.04733121876
WETH_DAI,19009527,1705288415,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x3c99af1fb4c57c074d919e562f8c1250294dc7f37b0d43f5abf946888ca90afd,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f,5,0,1.1444214255860075e+22,0.0,0.0,4.5718236952890895e+18,79824100644.0,11444.214255860075,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0x9b663f78b587d6471a722c3c598eaeb50fe107dcb095524b2a1ba3561806665e,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,6,0.0,1.4925373134328358e+18,3.7041417587410317e+21,0.0,40258844844.0,1,-115.30558968109972,15.453537088090355,-130.75912676919006,11699.432726585004
WETH_DAI,19009534,1705288499,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x523481d42b0163222fae16967bd675d9e813894d8dad3172338aebd6211c5a0a,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,5,0,9.127268812966373e+21,0.0,0.0,3.6437285044884603e+18,42731226282.0,9127.268812966373,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0x8235f3caa28221b30ddc89e107a979fc3027008fff350591432a2768f259220d,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,7,0.0,9.950248756218906e+16,2.4808723925308817e+20,0.0,35726097510.0,2,-6.542583975053901,13.713621814606018,-20.25620578965992,9324.409547141851
